39.94		0.21	167.5	2.7
45.63		0.24	387.7	5.0
121.7817	0.0003	817.9	7.3
244.6975	0.0008	581.4	3.3
344.2785	0.0012	494.6	9.7
367.7887	0.0016	462.9	5.9
411.1163	0.0011	426.6	9.7
443.965		0.003	393.1	4.0
488.6792	0.002	363.8	10.7
563.99		0.007	340.3	5.6
566.438		0.006	343.8	13.9
586.2648	0.0025	326.9	6.6
678.623		0.005	310.3	4.7
688.67		0.005	303.9	3.3
778.904		0.0018	281.1	3.2
867.378		0.004	255.2	1.7
964.079		0.018	249.7	1.3
1085.869	0.024	233.7	1.3
1089.737	0.005	240.8	3.1
1112.074	0.004	226.7	1.2
1212.948	0.011	205.8	1.4
1299.14		0.009	201.6	2.7
1408.006	0.003	195.0	1.0
